2QFA	B
2QJL	A
2QT7	B
2RJI	A
2RKL	A
2V1Q	A
2V33	A
2VC8	A
2VPG	C
2WJ5	A
2WPV	B
2WTP	A
2WY8	Q
2X5H	A
2XET	A
2XI8	A
2XQQ	A
2XQQ	B
2XRH	A
2XZ2	A
2Y1B	A
2Y5P	A
2Y72	A
2Y8N	B
2Y9U	A
2ZRR	A
3A02	A
3A4R	A
3AEI	A
3AU4	B
3B0F	A
3B5N	B
3B5N	C
3BC1	B
3BEI	A
3BQP	A
3BZY	B
3CCD	A
3CIM	A
3CJS	B
3CNQ	P
3CX5	I
3D3B	J
3DGP	B
3DKM	A
3DNJ	A
3E1R	A
3EUN	A
3EVY	A
3F2E	A
3FB9	A
3FFD	P
3FIL	A
3FJU	B
3FPN	B
3FT1	A
3FYM	A
3G21	A
3GOE	A
3GWK	C
3GWO	A
3H6P	A
3H87	C
3HMS	A
3HSH	A
3IEZ	A
3IFN	P
3IP4	C
3IPF	A
3IPJ	A
3JTZ	A
3K6I	A
3KF6	B
3KGR	A
3KXT	A
3L46	A
3L9A	X
3LHC	A
3M8J	A
3MD1	A
3MHS	B
3MHS	C
3N01	A
3N9U	C
3NGG	A
3NI0	A
3NIR	A
3NO7	A
3O2E	A
3ONJ	A
3OSE	A
3P6Z	C
3PD7	A
3PUC	A
3QF2	A
3QF7	C
3QX1	A
3RJP	A
3RQ9	A
3RY0	A
3S2R	A
3SHG	B
3SJH	B
3SJM	A
3T47	A
3T7L	A
3TBN	A
3TEQ	A
3TEU	A
3THG	A
3TXS	A
3U28	B
3U28	C
3UFF	A
3UI4	A
3ULJ	A
3V1A	A
3VC8	A
3VZ9	D
3W19	C
3WMQ	A
3X34	A
3X38	A
3ZDM	A
3ZNU	A
3ZR8	X
3ZRG	A
3ZZO	A
3ZZP	A
3ZZR	A
4A56	A
4A8X	B
4ABM	A
4AGH	A
4AQO	A
4AQR	D
4BK0	A
4BPF	A
4C2V	C
4CFQ	Q
4CO8	A
4CVD	A
4CXF	B
4DEY	B
4DPB	X
4DRI	B
4E6S	A
4EFO	A
4EIC	A
4EMN	A
4F2F	A
4FD9	A
4FP5	D
4FZO	A
4FZP	A
4G4K	A
4G7X	A
4G92	A
4GF3	B
4GIP	A
4GMQ	A
4GOF	A
4GVB	A
4GXB	B
4HCS	A
4HE6	A
4HGU	A
4HI8	B
4HRO	A
4HS1	A
4HS2	A
4HSU	B
4HY4	A
4I0X	B
4IL7	A
4J42	A
4JF3	A
4JNU	A
4JTM	A
4K12	A
4K12	B
4K8M	A
4KU0	A
4KU0	D
4L0N	A
4L5E	A
4L9U	A
4LLD	A
4LTT	A
4LUP	A
4LWU	A
4LZX	B
4M1X	A
4M5S	A
4MAK	A
4MNO	A
4MT2	A
4NDS	A
4NG0	A
4NPD	A
4NUT	B
4OD6	A
4Q2L	A
4QBO	A
4QND	A
4QPO	A
4QXB	B
4R5R	A
4RGD	A
4RP3	A
4RWU	A
4S36	A
4TPS	B
4TXR	C
4U1E	B
4U1E	G
4U5H	A
4U5H	G
4UQZ	B
4V1G	A
4V1G	B
4W4K	A
4WLR	B
4WND	B
4WNN	B
4WPY	A
4WY4	A
4WY4	B
4WY4	C
4X9J	A
4X9Z	A
4XDX	A
4XHT	A
4XRM	B
4XUW	A
4XXL	A
4Y2M	A
4Y99	B
4YH8	B
4YNX	A
4YTW	A
4YUD	A
4YY2	A
4Z4A	A
4ZC3	A
4ZCN	B
4ZMK	A
4ZQA	A
4ZV0	B
4ZV5	A
5AQ0	B
5AZX	A
5B66	F
5B66	X
5BY8	B
5CHL	A
5COY	A
5CTD	C
5D5Y	A
5D8V	A
5DHD	A
5DHE	A
5E9P	A
5EMX	A
5EP6	A
5EP6	B
5EQ0	A
5EXH	C
5FCN	A
5G1X	B
5GUA	A
5H6X	A
5HHE	A
5HOB	A
5HQH	A
5HUB	A
5I8J	A
5IBW	C
5ILU	A
5INB	B
5IO9	A
5J4F	A
5JVM	A
5K2L	A
5K3Q	A
5KHT	A
5KLE	A
5KUX	A
5L2L	A
5L37	A
5L87	A
5LC7	B
5LOS	A
5LSL	E
5LUS	A
5M33	A
5M72	B
5M97	A
5MAO	A
5MUZ	A
5N41	A
5N8A	X
5NFM	A
5NRM	B
5NW3	A
5O75	A
5OIX	A
5OL4	A
5OL9	A
5OXZ	A
